,date,stock,1_return,3_return,6_return,12_return,1_return_over_zero,amc,amc_over_mean
5367,194405,ME4 BM3,-3.627400000000003,0.011455550668815206,2.8973496927073628,6.100194462580677,0,23.47,0
5368,194405,ME4 BM4,-2.9054000000000024,0.7477392311607378,3.443230822014165,11.331108128561308,0,26.44,0
5369,194405,ME4 BM5,-5.252500000000005,3.280300504412459,4.684363547398207,2.7443238679365267,0,24.66,0
5370,194405,BIG LoBM,-1.2438999999999978,1.4982549075616358,2.4195987108192485,6.287277806613467,0,222.57,1
5371,194405,ME5 BM2,-1.434000000000002,0.1248882053731748,2.3181575231279616,8.700155859736626,0,243.05,1
5372,194405,ME5 BM3,-1.5843000000000051,0.7438789842329596,2.3632659538274092,10.911318656880088,0,153.25,1
5373,194405,ME5 BM4,-1.0445999999999955,3.417955079301449,3.304483380438783,9.158347325564753,0,171.94,1
5374,194405,BIG HiBM,-1.2180999999999997,8.682276804335821,11.568862410044378,17.01257654359638,0,104.47,1
5375,194406,SMALL LoBM,7.423200000000008,9.95071972116457,34.90157987626148,-3.1249971411778876,1,1.74,0
5376,194406,ME1 BM2,3.187300000000004,17.0513453406252,35.07841508791563,22.57271013062283,1,2.81,0
5377,194406,ME1 BM3,11.824999999999996,14.314973095688742,36.00313865613316,18.503490372929488,1,2.94,0
5378,194406,ME1 BM4,6.29869999999999,9.480011622241502,31.880656784460236,19.67622172047756,1,3.07,0
5379,194406,SMALL HiBM,8.958200000000005,12.434023973513941,42.61925279834602,14.388923730352987,1,2.31,0
5380,194406,ME2 BM1,4.809200000000002,4.883796172632149,19.84368220003365,8.438446670622412,1,7.55,0
5381,194406,ME2 BM2,5.9504,6.589134917116568,20.285834544655778,10.335017534172476,1,6.39,0
5382,194406,ME2 BM3,5.520199999999997,6.413518632997706,26.21318178953338,17.143451398972907,1,6.91,0
5383,194406,ME2 BM4,6.018699999999999,5.972070425778231,18.53243464313097,13.169762673957507,1,6.56,0
5384,194406,ME2 BM5,8.085499999999989,16.44811990682429,46.52819769358898,20.434080367384166,1,6.92,0
5385,194406,ME3 BM1,6.046799999999997,5.807960778150867,22.05660977116546,14.505667435534676,1,13.05,0
5386,194406,ME3 BM2,7.285699999999995,7.849845498603303,22.919116451009238,11.46663271557198,1,12.52,0
5387,194406,ME3 BM3,7.028499999999993,7.705064575724263,20.25504135057936,9.041992616744675,1,12.67,0
5388,194406,ME3 BM4,5.760600000000005,8.025530159924266,22.69566549193025,14.324251086221906,1,13.1,0
5389,194406,ME3 BM5,8.911599999999996,12.089175434161081,44.26865817843595,16.715796049225794,1,13.87,0
5390,194406,ME4 BM1,4.728299999999996,3.0116382720618784,13.92817292212236,3.4026527712825994,1,27.95,0
5391,194406,ME4 BM2,5.7155999999999985,6.492925971118191,18.47734874944056,13.522898029855845,1,29.91,0
5392,194406,ME4 BM3,6.130199999999997,5.280113667895847,18.80625272503822,6.654216499249177,1,24.77,0
5393,194406,ME4 BM4,8.723100000000006,10.899687833636529,23.799000167149885,11.4785525617902,1,28.62,0
5394,194406,ME4 BM5,7.9631999999999925,5.169714473173737,31.721636390277965,0.8287648661929214,1,26.63,0
5395,194406,BIG LoBM,4.424399999999995,5.88633983439224,12.352510742644052,5.320851948888383,1,231.18,1
5396,194406,ME5 BM2,4.6415000000000095,4.885776187036139,11.844350712182683,8.814022111856957,1,252.85,1
5397,194406,ME5 BM3,4.56939999999999,4.707298780392732,14.466923632849982,8.377588048292273,1,159.28,1
5398,194406,ME5 BM4,4.467599999999994,6.485064489776438,17.151358696593523,7.5069604889133945,1,177.66,1
5399,194406,BIG HiBM,6.963300000000006,11.02148206568656,36.80499931933583,19.091831725013407,1,109.6,1
5400,194407,SMALL LoBM,25.5976,27.568982954995015,55.489472730121015,20.521338246344634,1,2.56,0
5401,194407,ME1 BM2,13.48640000000001,18.66899231069963,46.10033505901103,38.05154141563343,1,3.14,0
5402,194407,ME1 BM3,11.069900000000011,20.59144478759263,36.412117462407245,32.557431160282846,1,3.31,0
5403,194407,ME1 BM4,14.874900000000002,19.675030898666957,33.46151635697729,33.71168304874295,1,3.4,0
5404,194407,SMALL HiBM,16.47670000000001,21.672540781340533,47.47617799265376,35.815304529029326,1,2.55,0
5405,194407,ME2 BM1,12.091399999999997,15.682861253291236,25.462036866447125,23.077939474045415,1,8.17,0
5406,194407,ME2 BM2,12.215799999999998,16.761454771178784,26.494462946509966,21.687562575480857,1,7.07,0
5407,194407,ME2 BM3,5.084299999999997,7.805660767083711,17.818037143536113,23.013635394580856,1,7.28,0
5408,194407,ME2 BM4,8.079400000000003,10.096219469386526,14.638234507214353,21.108773724744623,1,7.4,0
5409,194407,ME2 BM5,9.128000000000004,11.321016320849854,42.12135223066367,29.23839256838825,1,7.08,0
5410,194407,ME3 BM1,5.522999999999989,8.529978160130147,19.277208799647827,17.45760753565071,1,14.71,0
5411,194407,ME3 BM2,8.6611,12.959479330829303,22.440447432663248,19.53122350036893,1,14.18,0
5412,194407,ME3 BM3,8.932199999999991,12.538448375220357,20.914379373199665,17.826387306588455,1,13.9,0
5413,194407,ME3 BM4,9.555800000000003,13.205641112144884,23.514618196009618,21.232535212465308,1,14.5,0
5414,194407,ME3 BM5,10.083400000000008,18.26615665286728,37.202830914554255,31.713002314788863,1,14.0,0
5415,194407,ME4 BM1,6.549500000000008,8.617467640593768,13.165694896731672,8.219164553561198,1,32.69,0
5416,194407,ME4 BM2,7.980100000000001,11.793320036884314,18.358420459692027,19.752389843533713,1,30.37,0
5417,194407,ME4 BM3,8.349399999999996,10.82023560855545,18.082821153825932,14.63808662560082,1,29.36,0
5418,194407,ME4 BM4,13.7934,20.12515956076133,28.29441302095741,23.693867368640433,1,28.77,0
5419,194407,ME4 BM5,9.976800000000008,12.497944367562575,29.089187360185377,15.440530977947642,1,29.09,0
5420,194407,BIG LoBM,5.5149000000000115,8.812731151530384,12.57592372439249,8.934808824065655,1,264.66,1
5421,194407,ME5 BM2,3.663700000000003,6.919715541386928,9.554007562276157,9.420531792370944,1,262.96,1
5422,194407,ME5 BM3,3.3282000000000034,6.3378477100341835,11.172886672593151,11.66769800677232,1,140.55,1
5423,194407,ME5 BM4,5.867099999999992,9.441524192926387,16.761041660953424,13.383191706506835,1,215.94,1
5424,194407,BIG HiBM,5.2524000000000015,11.210085844062778,33.52412318370659,24.41180753728027,1,149.95,1
5425,194408,SMALL LoBM,-4.134700000000002,29.342384066946824,37.95787558946011,38.3518010617516,0,2.45,0
5426,194408,ME1 BM2,-2.376199999999995,14.320937423929703,32.012149798401566,37.20587901157555,0,3.05,0
5427,194408,ME1 BM3,-0.7854999999999945,23.22829391737291,28.80466515574225,42.946634253316816,0,3.27,0
5428,194408,ME1 BM4,0.9200000000000097,23.233942159301968,30.654490336878016,43.46234619819456,1,3.43,0
5429,194408,SMALL HiBM,-3.8132000000000055,22.071548700425225,31.26419045072979,41.73095257320642,0,2.45,0
5430,194408,ME2 BM1,-0.890599999999997,16.435804029684032,19.29228578621114,26.29385855782951,0,8.08,0
5431,194408,ME2 BM2,0.16970000000000596,19.094850535170572,20.097743282432322,28.326428602891383,1,7.07,0
5432,194408,ME2 BM3,-2.3507999999999973,8.278475104369655,10.661526493125395,26.80429013980252,0,7.09,0
5433,194408,ME2 BM4,-2.476999999999996,11.746119882819993,6.42331045090585,29.636156429273708,0,7.21,0
5434,194408,ME2 BM5,-1.0669999999999957,16.693001460825197,30.588395687912495,44.903883069632045,0,7.01,0
5435,194408,ME3 BM1,-0.11060000000000514,11.779999200171009,14.654942056032972,23.010669334291233,0,14.67,0
5436,194408,ME3 BM2,-0.6886999999999976,15.774950304220269,17.463427143171995,26.76859294663363,0,14.06,0
5437,194408,ME3 BM3,-0.6024000000000029,15.886170554945721,16.537211073155,23.991823786596523,0,13.79,0
5438,194408,ME3 BM4,-1.4012000000000024,14.243344812535819,17.689854400806304,27.952182898509893,0,14.27,0
5439,194408,ME3 BM5,-1.1855999999999978,18.472133844394723,27.91192729176344,43.68733463091552,0,13.81,0
5440,194408,ME4 BM1,0.08079999999999199,11.677642692346858,10.970366437040147,14.3339483961187,1,32.67,0
5441,194408,ME4 BM2,-1.1468999999999951,12.842603479879067,15.237374949216974,23.25286081238307,0,30.0,0
5442,194408,ME4 BM3,-1.3677999999999968,13.418582071980655,13.431574795117784,20.840084297035254,0,28.91,0
5443,194408,ME4 BM4,-2.6761000000000035,20.408848860550233,21.309193061269617,32.327147099772425,0,27.95,0
5444,194408,ME4 BM5,-0.45680000000000165,18.19209346704824,22.0691493052235,28.15507842038336,0,28.94,0
5445,194408,BIG LoBM,-1.9723000000000046,8.010155985330258,9.628423448045421,12.974941933821405,0,259.15,1
5446,194408,ME5 BM2,-1.5467000000000009,6.797463933920733,6.930841370011898,11.583906309668969,0,258.65,1
5447,194408,ME5 BM3,-1.174900000000001,6.780203094921866,7.574518585066259,12.46648521745195,0,138.51,1
5448,194408,ME5 BM4,-1.1116000000000015,9.36742432449147,13.105553759291588,17.411876969334973,0,213.24,1
5449,194408,BIG HiBM,-0.529500000000005,11.9853216424451,21.70819724766797,29.384642987023547,0,148.65,1
5450,194409,SMALL LoBM,7.17239999999999,29.040409540736523,41.88085902117811,58.88598742531703,1,2.63,0
5451,194409,ME1 BM2,2.4902999999999897,13.54873296287218,32.91031955027586,46.96821674268288,1,3.12,0
5452,194409,ME1 BM3,2.0054999999999934,12.407455713736471,28.498552756706097,46.59242112914739,1,3.33,0
5453,194409,ME1 BM4,2.6761999999999952,19.03431454887898,30.318781402568227,49.17457226189876,1,3.5,0
